Sr.No.,Accord Code,Company Name,RPTS_Year End,RPTS_Sales,RPTS_Rent Income,RPTS_Dividend Income,RPTS_Interest Income,RPTS_Forex Gain,RPTS_Discount Income,RPTS_Commission Income,RPTS_Claims Received,RPTS_Other Income,RPTS_Purchases,RPTS_Interest Expenses,RPTS_Director Remuneration,RPTS_Rent Expense,RPTS_Expenses,RPTS_Dividend Expense,RPTS_Discount Expense,RPTS_Commission Expense,RPTS_Claims Paid,RPTS_Expenses Recovered,RPTS_Profit on Sale of Assets,RPTS_Profit on Sale of Investments,RPTS_Provision Written Back,RPTS_Reimbursement Income,RPTS_Sale of Assets,RPTS_Sale of Investments,RPTS_Other Non Operating income,RPTS_Diminution on Investments,RPTS_Donations,RPTS_Forex Loss,RPTS_Loss on Sale of Assets,RPTS_Loss on Sale of Investments,RPTS_Provision for Doubtful Debts & Advances,RPTS_Purchase of Assets,RPTS_Purchase of Investments,RPTS_Provision Write offs,RPTS_Reimbursement Expense,RPTS_Other Non Operating Expenses
7491,217586,CP Capital Ltd.,202403,8.10,,5.46,20.18,,,,,,,,1.08,,15.73,,,,,,,,,,,,,,,,,,,,,,,
7492,217586,CP Capital Ltd.,202303,8.73,,,14.53,,,,,,0.33,,2.20,,8.05,,,,,,,,,,,,,,,,,,,,,,,
7493,217586,CP Capital Ltd.,202203,5.67,,,13.59,,,,,0.00,0.41,,2.03,,5.57,,,,,,,,,,,,,,,,,,,,,,,
7494,232601,CPC Diagnostics Pvt Ltd.,202403,0.07,,,,,,,,,7.68,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
7495,232601,CPC Diagnostics Pvt Ltd.,202303,0.06,,,,,,,,,5.60,,,,,,,,,,,,,,,,,,,,,,,,,,,
7496,232601,CPC Diagnostics Pvt Ltd.,202203,0.11,,,,,,,,,12.33,,,,,,,,,,,,,,,,,,,,,,,,,,,
7497,267954,CPC Logistics Ltd.,202403,,,,,,,,,,,,0.13,,0.02,,,,,,,,,,,,,,,,,,,,,,,
7498,267954,CPC Logistics Ltd.,202303,,,,,,,,,,,,0.18,,0.14,,,,,,,,,,,,,,,,,,,,,,,
7499,267954,CPC Logistics Ltd.,202203,,,,,,,,,,,,0.18,,0.21,,,,,,,,,,,,,,,,,,,,,,,
7500,311468,CPS Shapers Ltd.,202403,,,,,,,,,,,0.04,0.48,,0.02,,,,,,,,,,,,,,,,,,,,,,,
7501,311468,CPS Shapers Ltd.,202303,,,,,,,,,,,,0.79,,0.02,,,,,,,,,,,,,,,,,,,,,,,
7502,311468,CPS Shapers Ltd.,202203,,,,,,,,,,,,2.05,,,,,,,,,,,,,,,,,,,,,,,,,
7503,236620,CR Retail Malls (India) Ltd.,202403,,,,0.07,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,
7504,236620,CR Retail Malls (India) Ltd.,202303,,,,0.85,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,
7505,236620,CR Retail Malls (India) Ltd.,202203,,,,2.36,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,
7506,277441,CR3 (India) Pvt Ltd.,202403,,,,,,,,,,0.77,1.31,2.51,,,,,,,,,,,,,,,,,,,,,,,,,
7507,277441,CR3 (India) Pvt Ltd.,202303,0.90,,,,,,,,0.13,0.01,2.55,1.46,,21.48,,,,,,,,,,,,,,,,,,,,,,,
7508,277441,CR3 (India) Pvt Ltd.,202203,3.41,,,,,,,,0.14,,2.55,0.66,,4.99,,,,,,,,,,,,,,,,,,,,,,,
7509,236771,Craft Corner Paper Mills Ltd.,202303,,,,,,,,,,,0.57,0.55,,1.19,,,,,,,,,,,,,,,,,,,,,,,
