Sr.No.,Accord Code,Company Name,RPTS_Year End,RPTS_Sales,RPTS_Rent Income,RPTS_Dividend Income,RPTS_Interest Income,RPTS_Forex Gain,RPTS_Discount Income,RPTS_Commission Income,RPTS_Claims Received,RPTS_Other Income,RPTS_Purchases,RPTS_Interest Expenses,RPTS_Director Remuneration,RPTS_Rent Expense,RPTS_Expenses,RPTS_Dividend Expense,RPTS_Discount Expense,RPTS_Commission Expense,RPTS_Claims Paid,RPTS_Expenses Recovered,RPTS_Profit on Sale of Assets,RPTS_Profit on Sale of Investments,RPTS_Provision Written Back,RPTS_Reimbursement Income,RPTS_Sale of Assets,RPTS_Sale of Investments,RPTS_Other Non Operating income,RPTS_Diminution on Investments,RPTS_Donations,RPTS_Forex Loss,RPTS_Loss on Sale of Assets,RPTS_Loss on Sale of Investments,RPTS_Provision for Doubtful Debts & Advances,RPTS_Purchase of Assets,RPTS_Purchase of Investments,RPTS_Provision Write offs,RPTS_Reimbursement Expense,RPTS_Other Non Operating Expenses
7609,111413,Crest Ventures Ltd.,202303,,,,16.47,,,,,0.05,,0.06,0.43,,1.30,,,,,,,,,,,,,,,,,,,,,,,
7610,111413,Crest Ventures Ltd.,202203,,,,12.92,,,,,,,0.69,0.07,,32.12,,,,,,,,,,,,,,,,,,,,,,,
7611,126269,Crestchem Ltd.,202403,,,,,,,,,,,,0.60,,,,,,,,,,,,,,,,,,,,,,,,,
7612,126269,Crestchem Ltd.,202303,,,,,,,,,,,,0.40,,,,,,,,,,,,,,,,,,,,,,,,,
7613,126269,Crestchem Ltd.,202203,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,
7614,221789,CRI Ltd.,202403,12.42,,,3.34,,,,,0.00,,1.00,3.85,,0.64,,,,,,,,,,,,,,,,,,,,,,,
7615,221789,CRI Ltd.,202303,11.83,,,0.00,,,,,0.00,,1.26,2.75,,1.03,,,,,,,,,,,,,,,,,,,,,,,
7616,221789,CRI Ltd.,202203,,,,6.23,,,,,,,0.16,3.84,,0.06,,,,,,,,,,,,,,,,,,,,,,,
7617,215098,CRI Pumps Pvt Ltd.,202403,71.92,,22.05,1.49,,,,,0.00,4.62,,4.63,,14.60,11.25,,,,,,,,,,,,,,,,,,,,,,
7618,215098,CRI Pumps Pvt Ltd.,202303,0.00,,5.26,1.61,,,,,8.93,,,10.94,,0.91,5.00,,,,,,,,,,,,,,,,,,,,,,
7619,215098,CRI Pumps Pvt Ltd.,202203,68.89,,,,,,,,31.76,86.73,,,,21.99,,,,,,,,,,,,,,,,,,,,,,,
7620,126977,Crimson Metal Engineering Company Ltd.,202403,,,,,,,,,5.50,2.75,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,
7621,126977,Crimson Metal Engineering Company Ltd.,202303,,,,,,,,,5.50,2.66,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,
