Sr.No.,Accord Code,Company Name,BS_Year End,BS_Goodwill,BS_Computer Software,BS_Technical know-how,"BS_Patents, trademarks and designs",BS_Technology License  Fees,BS_Sundry Debtors
1,207635,20 Microns Ltd.,202403,,1.71,,,,112.55
2,207635,20 Microns Ltd.,202303,,1.34,,,,89.57
3,207635,20 Microns Ltd.,202203,,1.20,,,,95.45
4,224943,20 Microns Nano Minerals Ltd.,202403,,,,,,10.39
5,224943,20 Microns Nano Minerals Ltd.,202303,,,,,,9.52
6,224943,20 Microns Nano Minerals Ltd.,202203,,,,0.41,,10.89
7,126921,21st Century Management Services Ltd.,202403,,,,,,17.16
8,126921,21st Century Management Services Ltd.,202303,,,,,,
9,126921,21st Century Management Services Ltd.,202203,,,,,,0.03
10,235980,"24/7, Customer Pvt Ltd.",202403,,26.25,,,,406.73
11,235980,"24/7, Customer Pvt Ltd.",202303,,23.74,,,,459.36
12,235980,"24/7, Customer Pvt Ltd.",202203,,21.72,,,,437.49
13,211211,24-7 Intouch India Pvt Ltd.,202403,27.48,1.56,,,,85.85
14,211211,24-7 Intouch India Pvt Ltd.,202303,27.48,1.56,,,,56.20
15,211211,24-7 Intouch India Pvt Ltd.,202203,27.34,1.29,,,,38.90
16,239132,360 ONE Asset Management Ltd.,202403,,4.55,,6.08,,132.66
17,239132,360 ONE Asset Management Ltd.,202303,,2.75,,6.08,,121.62
18,239132,360 ONE Asset Management Ltd.,202203,,2.51,,,,121.24
19,228979,360 One Asset Trustee Ltd.,202403,,,,,,2.08
20,228979,360 One Asset Trustee Ltd.,202203,,,,,,1.81
21,281584,360 One Prime Ltd.,202403,,2.92,,,,4.04
22,281584,360 One Prime Ltd.,202303,,0.65,,,,17.54
23,281584,360 One Prime Ltd.,202203,,0.65,,,,13.17
24,228974,360 One Wam Ltd.,202403,3.21,47.89,,,,67.00
25,228974,360 One Wam Ltd.,202303,3.21,19.20,,,,7.34
26,228974,360 One Wam Ltd.,202203,3.21,18.38,,,,11.73
27,132067,3B Blackbio Dx Ltd.,202403,,,,,,36.47
28,132067,3B Blackbio Dx Ltd.,202303,,,,,,13.70
29,132067,3B Blackbio Dx Ltd.,202203,,,,,,14.35
30,318013,3B Films Ltd.,202403,,1.02,,2.82,,9.56
31,318013,3B Films Ltd.,202303,,1.02,,,,4.29
32,318013,3B Films Ltd.,202203,,1.02,,,,5.70
33,314164,3C IT Solutions & Telecom (India) Ltd.,202403,,,,,,7.10
34,314164,3C IT Solutions & Telecom (India) Ltd.,202303,,,,,,10.23
35,314164,3C IT Solutions & Telecom (India) Ltd.,202203,,,,,,14.58
36,235981,3D Technopack Ltd.,202403,,0.78,,,,23.29
37,235981,3D Technopack Ltd.,202303,,0.78,,,,24.24
38,235981,3D Technopack Ltd.,202203,,0.78,,,,20.58
39,237172,3F Industries Ltd.,202403,,2.08,,,,90.11
40,237172,3F Industries Ltd.,202303,,1.95,,,,118.25
41,237172,3F Industries Ltd.,202203,,1.93,,,,157.41
42,223554,3I India Pvt Ltd.,202303,,,,,,11.80
43,223554,3I India Pvt Ltd.,202203,,,,,,14.21
44,235983,3I Infotech Consultancy Services Ltd.,202403,,,,,,48.49
45,235983,3I Infotech Consultancy Services Ltd.,202303,,,,,,43.71
46,235983,3I Infotech Consultancy Services Ltd.,202203,,,,,,32.91
47,235982,3I Infotech Digital BPS Ltd.,202403,,,,,,15.14
48,235982,3I Infotech Digital BPS Ltd.,202303,,,,,,17.86
49,235982,3I Infotech Digital BPS Ltd.,202203,,,,,,6.08
50,132628,3I Infotech Ltd.,202403,,48.31,,,,72.54
51,132628,3I Infotech Ltd.,202303,,,,,,416.17
52,132628,3I Infotech Ltd.,202203,,,,,,451.13
53,123395,3M India Ltd.,202403,,2.38,,,,679.01
54,123395,3M India Ltd.,202303,,2.15,,,,595.10
55,123395,3M India Ltd.,202203,,2.44,,,,488.58
56,116092,3P Land Holdings Ltd.,202403,,,,,,
57,116092,3P Land Holdings Ltd.,202303,,,,,,
58,116092,3P Land Holdings Ltd.,202203,,,,,,
59,233059,4G Identity Solutions Pvt Ltd.,202403,,,,,,9.51
60,233059,4G Identity Solutions Pvt Ltd.,202303,,,,,,7.40
61,233059,4G Identity Solutions Pvt Ltd.,202203,,,,,,5.20
62,249205,4I Apps Solutions Pvt Ltd.,202403,,1.00,,,,7.41
63,249205,4I Apps Solutions Pvt Ltd.,202303,,1.00,,,,4.08
64,249205,4I Apps Solutions Pvt Ltd.,202203,,0.72,,,,2.46
65,221679,4Mann Industries Pvt Ltd.,202403,,0.69,,,,12.37
66,221679,4Mann Industries Pvt Ltd.,202303,,0.69,,,,8.21
67,221679,4Mann Industries Pvt Ltd.,202203,,0.69,,,,10.34
68,131925,52 Weeks Entertainment Ltd.,202403,,,,,,
69,131925,52 Weeks Entertainment Ltd.,202303,,,,,,2.59
70,131925,52 Weeks Entertainment Ltd.,202203,,,,,,2.59
71,228972,5Paisa Capital Ltd.,202403,,7.78,,,,0.03
72,228972,5Paisa Capital Ltd.,202303,,7.31,,,,0.05
73,228972,5Paisa Capital Ltd.,202203,,2.88,,,,
74,126881,63 Moons Technologies Ltd.,202403,,42.30,,0.11,,9.42
75,126881,63 Moons Technologies Ltd.,202303,,42.27,,0.10,,9.15
76,126881,63 Moons Technologies Ltd.,202203,,43.55,,0.13,,5.98
77,285855,7NR Retail Ltd.,202403,,0.00,,,,22.11
78,285855,7NR Retail Ltd.,202303,,,,,,25.41
79,285855,7NR Retail Ltd.,202203,,,,,,5.16
80,211528,7Seas Entertainment Ltd.,202403,,1.22,,,,0.57
81,211528,7Seas Entertainment Ltd.,202303,,0.41,,,,0.47
82,211528,7Seas Entertainment Ltd.,202203,,0.01,,,,0.18
83,288322,A And M Jumbo Bags Ltd.,202403,,,,,,3.38
84,288322,A And M Jumbo Bags Ltd.,202303,,,,,,0.05
85,288322,A And M Jumbo Bags Ltd.,202203,,,,,,0.05
86,319874,A Innovative International Ltd.,202403,,,,,,6.30
87,319874,A Innovative International Ltd.,202303,,,,,,1.71
88,319874,A Innovative International Ltd.,202203,,,,,,1.65
89,233838,A TO Z Forex Pvt Ltd.,202303,,,,,,0.01
90,233838,A TO Z Forex Pvt Ltd.,202203,,,,,,
91,243030,A Tosh & Sons (India) Ltd.,202203,0.02,0.30,,0.41,,2.40
92,227003,A-1 Facility & Property Managers Pvt Ltd.,202403,,,,,,71.08
93,227003,A-1 Facility & Property Managers Pvt Ltd.,202303,,,,,,36.69
94,227003,A-1 Facility & Property Managers Pvt Ltd.,202203,,,,,,29.58
95,252248,A-1 Fence Products Company Pvt Ltd.,202403,,0.03,,15.99,,109.94
96,252248,A-1 Fence Products Company Pvt Ltd.,202303,,0.03,,15.76,,101.90
97,252248,A-1 Fence Products Company Pvt Ltd.,202203,,0.03,,0.07,,83.49
98,274990,A-1 Ltd.,202403,0.31,,,,,30.74
99,274990,A-1 Ltd.,202303,0.31,,,,,38.16
100,274990,A-1 Ltd.,202203,0.31,,,,,46.31
101,207654,A2Z Infra Engineering Ltd.,202403,,5.33,,,,110.84
102,207654,A2Z Infra Engineering Ltd.,202303,,5.33,,,,251.05
103,207654,A2Z Infra Engineering Ltd.,202203,,5.33,,,,431.51
104,221335,A2Z Infraservices Pvt Ltd,202403,,2.58,,,,32.72
105,221335,A2Z Infraservices Pvt Ltd,202303,,2.57,,,,42.98
106,221335,A2Z Infraservices Pvt Ltd,202203,,2.55,,,,58.77
107,242722,A2Z Powercom Ltd.,202303,,,,,,1.78
108,242722,A2Z Powercom Ltd.,202203,,,,,,1.70
109,280120,A2Z Waste Management (Ludhiana) Ltd.,202303,,,,,,8.70
110,280120,A2Z Waste Management (Ludhiana) Ltd.,202203,,,,,,8.70
111,290601,AA Calibration Pvt Ltd.,202303,,0.01,,,,0.79
112,290601,AA Calibration Pvt Ltd.,202203,,0.01,,,,0.71
113,300013,AA Plus Tradelink Ltd.,202203,,,,,,5.70
114,299993,AAA Technologies Ltd.,202303,,0.18,,,,6.70
115,299993,AAA Technologies Ltd.,202203,,0.18,,,,9.18
116,231846,AAACORP Exim India Pvt Ltd.,202403,23.60,,,,,82.97
117,231846,AAACORP Exim India Pvt Ltd.,202303,23.60,,,,,90.98
118,231846,AAACORP Exim India Pvt Ltd.,202203,23.60,,,,,88.93
119,290600,Aabha Contraceptives Pvt Ltd.,202403,,,,,,4.75
120,290600,Aabha Contraceptives Pvt Ltd.,202303,,,,,,5.42
121,290600,Aabha Contraceptives Pvt Ltd.,202203,,,,,,3.72
122,242762,Aabsys Information Technology Pvt Ltd.,202403,,3.26,,,,5.86
123,242762,Aabsys Information Technology Pvt Ltd.,202303,,3.18,,,,7.86
124,242762,Aabsys Information Technology Pvt Ltd.,202203,,2.89,,,,5.86
125,267268,Aacess Tough Doors Pvt Ltd.,202303,,0.02,,,,0.07
126,267268,Aacess Tough Doors Pvt Ltd.,202203,,0.02,,,,0.65
127,226513,Aachi Masala FoodS Pvt Ltd.,202403,,29.64,,,,192.86
128,226513,Aachi Masala FoodS Pvt Ltd.,202303,,29.63,,,,177.58
129,226513,Aachi Masala FoodS Pvt Ltd.,202203,,29.52,,,,192.70
130,131611,Aadhaar Ventures India Ltd.,202403,,,,,,26.92
131,131611,Aadhaar Ventures India Ltd.,202303,,,,,,28.59
132,131611,Aadhaar Ventures India Ltd.,202203,,,,,,28.44
133,236016,Aadhaar Wholesale Trading and Distribution Ltd.,202303,,2.56,,,,0.48
134,236016,Aadhaar Wholesale Trading and Distribution Ltd.,202203,,2.56,,,,1.85
135,221661,Aadhar Housing Finance Ltd.,202403,,10.27,,,,19.53
136,221661,Aadhar Housing Finance Ltd.,202303,,3.37,,,,7.97
137,221661,Aadhar Housing Finance Ltd.,202203,,3.36,,,,5.19
138,314284,Aadharshila Infratech Pvt Ltd.,202403,,0.00,,,,3.37
139,314284,Aadharshila Infratech Pvt Ltd.,202303,,0.00,,,,1.66
140,130027,Aadi Industries Ltd.,202303,,,,,,0.24
141,130027,Aadi Industries Ltd.,202203,,,,,,0.26
142,294360,AADI Polymers Pvt Ltd.,202403,,,,,,3.08
143,294360,AADI Polymers Pvt Ltd.,202303,,,,,,5.85
144,294360,AADI Polymers Pvt Ltd.,202203,,,,,,7.97
145,231607,Aadishwar Exim Pvt Ltd.,202403,,,,,,16.78
146,231607,Aadishwar Exim Pvt Ltd.,202303,,,,,,15.18
147,231607,Aadishwar Exim Pvt Ltd.,202203,,,,,,18.14
148,243847,Aadya Overseas Ltd.,202303,,,,,,13.80
149,243847,Aadya Overseas Ltd.,202203,,,,,,14.99
150,131866,Aagam Capital Ltd.,202403,,,,,,
151,131866,Aagam Capital Ltd.,202303,,,,,,
152,131866,Aagam Capital Ltd.,202203,,,,,,
153,211202,AAK India Pvt Ltd.,202403,,9.54,,0.01,,152.47
154,211202,AAK India Pvt Ltd.,202303,,9.54,,0.01,,213.09
155,211202,AAK India Pvt Ltd.,202203,,9.54,,0.01,,212.94
156,319452,Aakaar Medical Technologies Ltd.,202403,,,,0.01,,16.26
157,319452,Aakaar Medical Technologies Ltd.,202303,,,,0.01,,10.23
158,319452,Aakaar Medical Technologies Ltd.,202203,,,,,,5.57
159,290603,AAKAR Abhinav Consultants Pvt Ltd.,202303,,0.06,,,,20.26
160,290603,AAKAR Abhinav Consultants Pvt Ltd.,202203,,0.06,,,,18.30
161,223710,Aakash Edutech Pvt Ltd.,202303,,0.32,,,,0.27
162,223710,Aakash Edutech Pvt Ltd.,202203,,0.32,,,,0.28
163,288691,Aakash Exploration Services Ltd.,202403,,,,,,24.54
164,288691,Aakash Exploration Services Ltd.,202303,,,,,,15.41
165,288691,Aakash Exploration Services Ltd.,202203,,,,,,21.23
166,223486,Aakash Global Foods Pvt Ltd.,202403,,0.03,,,,12.42
167,223486,Aakash Global Foods Pvt Ltd.,202303,,0.03,,,,15.57
168,223486,Aakash Global Foods Pvt Ltd.,202203,,0.03,,,,17.46
169,249590,Aakruti Hospitality Pvt Ltd.,202403,,0.09,,,,0.10
170,249590,Aakruti Hospitality Pvt Ltd.,202303,,0.08,,,,0.44
171,249590,Aakruti Hospitality Pvt Ltd.,202203,,0.08,,,,0.26
172,290604,AAM India Manufacturing Corporation Pvt Ltd.,202303,,6.17,,,,288.53
173,290604,AAM India Manufacturing Corporation Pvt Ltd.,202203,,5.43,,,,271.64
174,267733,AAN Engineering Industries Ltd.,202403,,,,,,7.01
175,267733,AAN Engineering Industries Ltd.,202303,,,,,,0.86
176,267733,AAN Engineering Industries Ltd.,202203,,,,,,0.01
177,270100,Aananda Lakshmi Spinning Mills Ltd.,202303,,,,,,0.91
178,270100,Aananda Lakshmi Spinning Mills Ltd.,202203,,,,,,1.94
179,236018,Aanchal Computers Ltd.,202303,,,,,,1.61
180,236018,Aanchal Computers Ltd.,202203,,,,,,1.07
181,311562,Aanchal International Ltd.,202303,,,,,,19.88
182,311562,Aanchal International Ltd.,202203,,,,,,16.86
183,271851,Aanchal Ispat Ltd.,202403,,,,,,56.49
184,271851,Aanchal Ispat Ltd.,202303,,,,,,54.64
185,271851,Aanchal Ispat Ltd.,202203,,,,,,76.84
186,282541,AAR AAR Technoplast Pvt Ltd.,202403,,,,,,10.56
187,282541,AAR AAR Technoplast Pvt Ltd.,202303,,,,,,13.71
188,282541,AAR AAR Technoplast Pvt Ltd.,202203,,,,,,17.14
189,242773,AAR Shyam India Investment Co Ltd.,202403,,,,,,
190,242773,AAR Shyam India Investment Co Ltd.,202303,,,,,,
191,242773,AAR Shyam India Investment Co Ltd.,202203,,,,,,0.16
192,318206,Aaradhya Disposal Industries Ltd.,202403,,,,,,15.51
193,318206,Aaradhya Disposal Industries Ltd.,202303,,,,,,16.08
194,318206,Aaradhya Disposal Industries Ltd.,202203,,,,,,14.43
195,310560,Aaral Tech Pvt Ltd.,202303,,,,,,1.17
196,310560,Aaral Tech Pvt Ltd.,202203,,,,,,1.45
197,132024,Aarcon Facilities Ltd.,202403,,,,,,
198,132024,Aarcon Facilities Ltd.,202303,,,,,,
199,132024,Aarcon Facilities Ltd.,202203,,,,,,
200,310176,Aarcot Ceramic Pvt Ltd.,202403,,0.00,,,,3.82
201,310176,Aarcot Ceramic Pvt Ltd.,202303,,0.00,,,,4.48
202,310176,Aarcot Ceramic Pvt Ltd.,202203,,0.00,,,,2.14
203,248822,Aaren Bespoke Living Pvt Ltd.,202303,,,,,,0.24
204,248822,Aaren Bespoke Living Pvt Ltd.,202203,,0.14,,,,0.08
205,124412,Aarey Drugs & Pharmaceuticals Ltd.,202403,,,,,,184.48
206,124412,Aarey Drugs & Pharmaceuticals Ltd.,202303,,,,,,189.78
207,124412,Aarey Drugs & Pharmaceuticals Ltd.,202203,,,,,,136.28
208,287832,Aarish Solar Power Pvt Ltd.,202403,,,,24.16,,12.91
209,287832,Aarish Solar Power Pvt Ltd.,202303,,,,24.16,,18.13
210,287832,Aarish Solar Power Pvt Ltd.,202203,,,,24.16,,17.66
211,236021,Aarkay Innovations Ltd.,202403,,,,,,0.30
212,236021,Aarkay Innovations Ltd.,202303,,,,,,0.55
213,236021,Aarkay Innovations Ltd.,202203,,,,,,0.48
214,254751,Aarnav Fashions Ltd.,202403,4.96,,,,,106.41
215,254751,Aarnav Fashions Ltd.,202303,4.96,,,,,123.29
216,254751,Aarnav Fashions Ltd.,202203,4.96,,,,,171.90
217,290393,Aaron Industries Ltd.,202403,,0.15,,,,3.53
218,290393,Aaron Industries Ltd.,202303,,0.15,,,,2.54
219,290393,Aaron Industries Ltd.,202203,,0.06,,,,2.45
220,292026,Aartech Solonics Ltd.,202403,,,,,,9.43
221,292026,Aartech Solonics Ltd.,202303,,,,,,10.60
222,292026,Aartech Solonics Ltd.,202203,,,,,,7.08
223,246921,Aarthi Scans Pvt Ltd.,202403,7.61,,,,,19.66
224,246921,Aarthi Scans Pvt Ltd.,202303,0.12,,,,,12.21
225,246921,Aarthi Scans Pvt Ltd.,202203,0.12,,,,,8.24
226,124348,Aarti Drugs Ltd.,202403,,0.31,,,,643.95
227,124348,Aarti Drugs Ltd.,202303,,0.31,,,,801.68
228,124348,Aarti Drugs Ltd.,202203,,0.07,,,,711.64
229,124208,Aarti Industries Ltd.,202403,,2.78,6.58,,,867.04
230,124208,Aarti Industries Ltd.,202303,,1.86,0.08,,,973.83
231,124208,Aarti Industries Ltd.,202203,,0.39,0.08,,,1130.88
232,207658,Aarti International Ltd.,202303,,1.76,,,,101.79
233,207658,Aarti International Ltd.,202203,,1.76,,,,141.15
234,308020,Aarti Pharmalabs Ltd.,202403,,38.29,,,,448.82
235,308020,Aarti Pharmalabs Ltd.,202303,,38.02,,,,371.67
236,308020,Aarti Pharmalabs Ltd.,202203,,38.02,,,,304.22
237,207659,Aarti Steels Ltd.,202403,,1.27,,,,215.93
238,207659,Aarti Steels Ltd.,202303,,1.15,,,,276.01
239,207659,Aarti Steels Ltd.,202203,,2.57,,,,472.19
240,299121,Aarti Surfactants Ltd.,202403,,,,1.87,,70.11
241,299121,Aarti Surfactants Ltd.,202303,,,,1.87,,65.36
242,299121,Aarti Surfactants Ltd.,202203,,,,1.87,,54.47
243,114274,Aarvee Denims & Exports Ltd.,202403,,0.44,,,,99.73
244,114274,Aarvee Denims & Exports Ltd.,202303,,0.44,,,,124.22
245,114274,Aarvee Denims & Exports Ltd.,202203,,0.44,,,,166.11
246,207660,Aarvi Encon Ltd.,202403,,0.59,,,,71.75
247,207660,Aarvi Encon Ltd.,202303,,0.45,,,,78.74
248,207660,Aarvi Encon Ltd.,202203,,0.18,,,,69.24
249,252736,Aarvi Marketing Pvt Ltd.,202403,,0.13,,,,32.59
250,252736,Aarvi Marketing Pvt Ltd.,202303,,0.12,,,,27.36
251,252736,Aarvi Marketing Pvt Ltd.,202203,,,,,,28.78
252,254836,Aashirwad Malls Pvt Ltd.,202303,,,,,,0.12
253,254836,Aashirwad Malls Pvt Ltd.,202203,,,,,,0.11
254,302649,Aashka Hospitals Ltd.,202403,,,,,,4.82
255,302649,Aashka Hospitals Ltd.,202303,,,,,,6.86
256,302649,Aashka Hospitals Ltd.,202203,,,,,,7.82
257,287833,Aashman Energy Pvt Ltd.,202403,,,,24.16,,12.04
258,287833,Aashman Energy Pvt Ltd.,202303,,,,24.16,,17.65
259,287833,Aashman Energy Pvt Ltd.,202203,,,,24.16,,17.74
260,244128,Aashrit Capital Ltd.,202403,,,,,,
261,244128,Aashrit Capital Ltd.,202303,,,,,,
262,244128,Aashrit Capital Ltd.,202203,,,,,,
263,111764,Aastamangalam Finance Ltd.,202303,,,,,,1.35
264,111764,Aastamangalam Finance Ltd.,202203,,,,,,0.18
265,309790,Aastha Fashions Pvt Ltd.,202403,,,,,,6.39
266,309790,Aastha Fashions Pvt Ltd.,202303,,,,,,11.44
267,309790,Aastha Fashions Pvt Ltd.,202203,,,,,,10.11
268,309629,Aatmaj Healthcare Ltd.,202403,5.63,0.12,,,,20.62
269,309629,Aatmaj Healthcare Ltd.,202303,,0.11,,,,17.83
270,309629,Aatmaj Healthcare Ltd.,202203,,0.11,,,,5.10
271,267615,Aavas Financiers Ltd.,202403,,43.84,,,,12.22
272,267615,Aavas Financiers Ltd.,202303,,14.77,,,,1.22
273,267615,Aavas Financiers Ltd.,202203,,11.61,,,,
274,230160,Aavkar Publications Pvt Ltd.,202303,,,,,,0.72
275,230160,Aavkar Publications Pvt Ltd.,202203,,,,,,0.37
276,286967,Aayush Art And Bullion Ltd.,202403,,,,,,0.01
277,286967,Aayush Art And Bullion Ltd.,202303,,,,,,0.39
278,286967,Aayush Art And Bullion Ltd.,202203,,,,,,
279,236023,Aayush Wellness Ltd.,202403,,0.00,,,,0.02
280,236023,Aayush Wellness Ltd.,202303,,0.00,,,,1.32
281,236023,Aayush Wellness Ltd.,202203,,,,,,2.89
282,269731,Ab Auto Brakes Pvt Ltd.,202303,,0.10,,,,0.54
283,269731,Ab Auto Brakes Pvt Ltd.,202203,,0.10,,,,0.50
284,302435,AB Cotspin India Ltd.,202403,,,,,,38.16
285,302435,AB Cotspin India Ltd.,202303,,,,,,13.46
286,302435,AB Cotspin India Ltd.,202203,,,,,,8.04
287,225641,AB Holdings Pvt Ltd.,202203,,,,,,
288,242779,AB Hotels Ltd.,202403,,1.79,,,,5.21
289,242779,AB Hotels Ltd.,202303,,1.76,,,,6.72
290,242779,AB Hotels Ltd.,202203,,1.60,,,,5.11
291,290910,AB Infrabuild Ltd.,202403,,,,,,20.96
292,290910,AB Infrabuild Ltd.,202303,,,,,,32.30
293,290910,AB Infrabuild Ltd.,202203,,,,,,27.35
294,251770,AB Jewels Pvt Ltd.,202403,,,,,,94.25
295,251770,AB Jewels Pvt Ltd.,202303,,,,,,94.28
296,251770,AB Jewels Pvt Ltd.,202203,,,,,,92.62
297,242780,AB Leasing & Finance Ltd.,202303,,,,,,
298,242780,AB Leasing & Finance Ltd.,202203,,,,,,
299,214739,AB Mauri India Pvt Ltd.,202403,,1.96,,,,73.75
300,214739,AB Mauri India Pvt Ltd.,202303,,1.90,,,,56.56
301,214739,AB Mauri India Pvt Ltd.,202203,,1.41,,,,51.36
302,228338,AB Medical Centres Ltd.,202403,,,,,,3.36
303,228338,AB Medical Centres Ltd.,202303,,,,,,2.85
304,228338,AB Medical Centres Ltd.,202203,,,,,,6.52
305,306344,AB Studios Pvt Ltd.,202403,,0.74,,,,1.41
306,306344,AB Studios Pvt Ltd.,202303,,0.74,,,,0.51
307,306344,AB Studios Pvt Ltd.,202203,,0.24,,,,1.04
308,212257,Abacus Peripherals Pvt. Ltd,202403,,,,,,29.75
309,212257,Abacus Peripherals Pvt. Ltd,202303,,,,,,11.85
310,212257,Abacus Peripherals Pvt. Ltd,202203,,,,,,6.76
311,290608,ABAK Electrofab Engineering Pvt Ltd.,202303,,0.12,,,,3.04
312,290608,ABAK Electrofab Engineering Pvt Ltd.,202203,,0.12,,,,2.18
313,123204,Aban Offshore Ltd.,202403,,,,,,84.52
314,123204,Aban Offshore Ltd.,202303,,,,,,288.59
315,123204,Aban Offshore Ltd.,202203,,,,,,311.03
316,112165,ABans Enterprises Ltd.,202403,,0.02,,,,
317,112165,ABans Enterprises Ltd.,202303,,,,,,
318,112165,ABans Enterprises Ltd.,202203,,,,,,
319,303705,Abans Financial Services Ltd.,202403,,,,,,1.10
320,303705,Abans Financial Services Ltd.,202303,,,,,,0.70
321,303705,Abans Financial Services Ltd.,202203,,,,,,
322,277350,Abaris Healthcare Pvt Ltd.,202303,,,,,,17.20
323,277350,Abaris Healthcare Pvt Ltd.,202203,,,,,,19.94
324,131658,Abate AS Industries Ltd.,202403,,,,,,
325,131658,Abate AS Industries Ltd.,202303,,,,,,0.08
326,131658,Abate AS Industries Ltd.,202203,,,,,,0.20
327,299851,Abbott Diagnostics Medical Pvt Ltd.,202303,,0.04,,,,67.91
328,299851,Abbott Diagnostics Medical Pvt Ltd.,202203,,0.04,,,,73.41
329,221754,Abbott Healthcare Pvt Ltd,202303,2673.83,23.52,,6725.55,,1061.39
330,221754,Abbott Healthcare Pvt Ltd,202203,2673.83,22.77,,6725.55,,947.66
331,100488,Abbott India Ltd.,202403,,6.97,,9.38,,319.11
332,100488,Abbott India Ltd.,202303,,6.59,,9.38,,318.80
333,100488,Abbott India Ltd.,202203,,6.43,,9.38,,288.16
334,212429,Abbvie Therapeutics India Pvt Ltd.,202403,,,,,,32.82
335,212429,Abbvie Therapeutics India Pvt Ltd.,202303,,,,,,35.95
336,212429,Abbvie Therapeutics India Pvt Ltd.,202203,,,,,,37.93
337,236024,Abby Lighting & Switchgear Ltd.,202403,,0.39,,,,13.30
338,236024,Abby Lighting & Switchgear Ltd.,202303,,0.27,,,,7.98
339,236024,Abby Lighting & Switchgear Ltd.,202203,,0.27,,,,8.41
340,209857,ABC Consultants Pvt Ltd.,202403,,0.66,,,,17.02
341,209857,ABC Consultants Pvt Ltd.,202303,,0.66,,,,13.54
342,209857,ABC Consultants Pvt Ltd.,202203,,0.66,,,,11.88
343,120123,ABC India Ltd.,202403,,0.05,,,,26.54
344,120123,ABC India Ltd.,202303,,0.05,,,,24.79
345,120123,ABC India Ltd.,202203,,0.05,,,,30.97
346,288022,ABC Transformers Pvt Ltd.,202403,,,,,,16.42
347,288022,ABC Transformers Pvt Ltd.,202303,,,,,,8.82
348,288022,ABC Transformers Pvt Ltd.,202203,,,,,,11.75
349,251173,ABCI Infrastructures Pvt Ltd.,202403,,1.07,,,,103.90
350,251173,ABCI Infrastructures Pvt Ltd.,202303,,1.01,,,,156.76
351,251173,ABCI Infrastructures Pvt Ltd.,202203,,1.02,,,,280.64
352,236025,Abdos Polymers Ltd.,202303,,,,,,1.71
353,236025,Abdos Polymers Ltd.,202203,,,,,,1.69
354,321327,ABH Healthcare Ltd.,202403,,,,,,11.98
355,321327,ABH Healthcare Ltd.,202303,,,,,,5.89
356,321327,ABH Healthcare Ltd.,202203,,,,,,1.05
357,315950,Abha Power And Steel Ltd.,202403,,,,,,8.47
358,315950,Abha Power And Steel Ltd.,202303,,,,,,9.57
359,315950,Abha Power And Steel Ltd.,202203,,,,,,9.60
360,290610,Abharan Jewellers Pvt Ltd.,202403,,0.19,,,,0.59
361,290610,Abharan Jewellers Pvt Ltd.,202303,,0.03,,,,0.52
362,290610,Abharan Jewellers Pvt Ltd.,202203,,0.02,,,,0.58
363,221154,Abhaya Exports Pvt Ltd,202403,,,,,,5.87
364,221154,Abhaya Exports Pvt Ltd,202303,,,,,,11.74
365,221154,Abhaya Exports Pvt Ltd,202203,,,,,,12.81
366,242777,Abheek Builders Pvt Ltd.,202303,,,,,,
367,290202,Abhijeet Dies And Tools Pvt Ltd.,202403,,0.33,,,,14.48
368,290202,Abhijeet Dies And Tools Pvt Ltd.,202303,,0.15,,,,9.44
369,290202,Abhijeet Dies And Tools Pvt Ltd.,202203,,,,,,12.26
370,282542,Abhijeet Plastics (India) Pvt Ltd.,202403,,0.45,,,,9.08
371,282542,Abhijeet Plastics (India) Pvt Ltd.,202303,,,,,,14.84
372,282542,Abhijeet Plastics (India) Pvt Ltd.,202203,,,,,,8.10
373,290203,Abhijeet Techno-Plast (India) Pvt Ltd.,202403,,,,,,6.99
374,290203,Abhijeet Techno-Plast (India) Pvt Ltd.,202303,,,,,,5.58
375,290203,Abhijeet Techno-Plast (India) Pvt Ltd.,202203,,,,,,3.60
376,279555,Abhijit Trading Company Ltd.,202403,,,,,,0.03
377,279555,Abhijit Trading Company Ltd.,202303,,,,,,
378,279555,Abhijit Trading Company Ltd.,202203,,,,,,0.00
379,290611,Abhilasha Commercial Pvt Ltd.,202403,,,,,,42.77
380,290611,Abhilasha Commercial Pvt Ltd.,202303,,,,,,15.06
381,290611,Abhilasha Commercial Pvt Ltd.,202203,,,,,,38.70
382,290612,Abhilasha Pharma Pvt Ltd.,202403,,,,,,9.49
383,290612,Abhilasha Pharma Pvt Ltd.,202303,,,,,,9.45
384,290612,Abhilasha Pharma Pvt Ltd.,202203,,,,,,5.90
385,231407,Abhinandan Leasing And Finance Ltd.,202303,,,,,,0.04
386,231407,Abhinandan Leasing And Finance Ltd.,202203,,,,,,1.24
387,132057,Abhinav Capital Services Ltd.,202403,,,,,,
388,132057,Abhinav Capital Services Ltd.,202303,,,,,,
389,132057,Abhinav Capital Services Ltd.,202203,,,,,,
390,254245,Abhinav Leasing & Finance Ltd.,202403,,,,,,0.12
391,254245,Abhinav Leasing & Finance Ltd.,202303,,,,,,2.67
392,254245,Abhinav Leasing & Finance Ltd.,202203,,,,,,
393,233514,Abhiram Marketing Services Ltd.,202303,,0.02,,,,
394,233514,Abhiram Marketing Services Ltd.,202203,,0.02,,,,10.76
395,294015,Abhishek Automotives Pvt Ltd.,202403,,,,,,4.41
396,294015,Abhishek Automotives Pvt Ltd.,202303,,,,,,3.79
